,1,2,3,4,5,6,7
384,6239778599.0,,,,,,
385,13199296.0,,,,,,
386,455908817.0,,,,,,
387,198509732.0,,,,,,
388,12528975.0,,,,,,
389,201105129.0,,,,,,
390,75854148.0,,,,,,
391,10199524.0,,,,,,
392,4262720240.0,,,,,,
393,2960159945.0,,,,,,
394,895254571.0,,,,,,
395,13291996.0,,,,,,
396,41185068.0,,,,,,
397,1217411301.0,,,,,,
398,1519551.0,,,,,,
399,162431485.0,,,,,,
400,663476596.0,,,,,,
401,,,,,,23459061.0,
402,,,,,,,52621550.0
403,104128800.0,,,,,,
404,12575430.0,,,,,,
405,6219356.0,,,,,,
406,221621560.0,,,,,,
407,1461871.0,,,,,,
408,5678031584.0,,,,,,
409,1619203025.0,,,,,,
410,144367539.0,,,,,,
411,8206483652.0,,,,,,
412,15441858397.0,,,,,,
413,1783124261.0,,,,,,
414,10655423.0,,,,,,
415,33424382.0,,,,,,
416,186609565.0,,,,,,
417,32146923.0,,,,,,
418,309600485.0,,,,,,
419,276878349.0,,,,,,
420,909387396.0,,,,,,
421,756146952.0,,,,,,
422,457341141.0,,,,,,
423,54941018.0,,,,,,
424,5049997169.0,,,,,,
425,90073214.0,,,,,,
426,64354360332.0,,,,,,
427,654267551.0,,,,,,
428,741131270.0,,,,,,
429,10232210493.0,,,,,,
430,1102795881.0,,,,,,
431,202364034.0,,,,,,
432,629892907.0,,,,,,
433,993649693.0,,,,,,
434,,,,,,10054835069.0,
435,,,,,,,10054835069.0
436,,,,,,,39104220.0
437,,,,,,81381859.0,
438,,,,,,186061176.0,
439,,,,,,,6384935080.0
440,,,,,,,330261492.0
441,,,,,,,186061176.0
442,,,,,,,180820759.0
443,,,,,,13551706.0,
444,,,,,,204333078.0,
445,,,,,,167363791.0,
446,,,,,,,13551706.0
447,,,,,,,477189403.0
448,,,,,,49160832.0,
449,,,,,,,11121502887.0
450,,,,,,,949796938.0
451,,,,,,1173312711.0,
452,,,,,,389974770.0,
453,,,,,,,389974770.0
454,,,,,,3901969548.0,
455,248412423.0,,,,,,
456,366881384.0,,,,,,
457,1008958722.0,,,,,,
458,61742378.0,,,,,,
459,440181831.0,,,,,,
460,,,,,,,1504985065.0
461,,,,,,307712940.0,
462,,,,,,,1952551787.0
463,,,,,,,40652311.0
464,,,,,,,14787670.0
465,22653409.0,,,,,,
466,21902369021.0,,,,,,
467,2276288439.0,,,,,,
468,298060269.0,,,,,,
469,512176758.0,,,,,,
470,45699608.0,,,,,,
471,181324920.0,,,,,,
472,4662168132.0,,,,,,
473,26165770.0,,,,,,
474,3948898.0,,,,,,
475,22008788.0,,,,,,
476,22761904124.0,,,,,,
477,,,,,,,54579373.0
478,,,,,,14986181.0,
479,,,,,,,33966748.0
480,,,,,,22004185839.0,
481,,,,,,48348773.0,
482,,,,,,,22004185839.0
483,,,,,,21221169.0,
484,,,,,,3001737729.0,
485,,,,,,,1579960672.0
486,138930863.0,,,,,,
487,1837540.0,,,,,,
488,2330135396.0,,,,,,
489,409027979.0,,,,,,
490,156185124.0,,,,,,
491,36143972.0,,,,,,
492,3893555741.0,,,,,,
493,697171.0,,,,,,
494,131810129.0,,,,,,
495,250000000.0,,,,,,
496,104328271.0,,,,,,
497,144272294.0,,,,,,
498,3503547081.0,,,,,,
499,21647702.0,,,,,,
500,494568072.0,,,,,,
501,14517883768.0,,,,,,
502,760763830.0,,,,,,
503,4000000013.0,,,,,,
504,12937530841.0,,,,,,
505,54435412.0,,,,,,
506,3751024132.0,,,,,,
507,,,,,,,1420807156.0
508,,,,,,406427126.0,
509,,,,,,,494119157.0
510,,,,,,3234753768.0,
511,,,,,,417399187.0,
512,,,,,,8690127.0,
513,,,,,,,8690127.0
514,,,,,,327429022.0,
515,,,,,,677437991.0,
516,,,,,,142363519.0,
517,,,,,,,3537163.0
518,,,,,,,1496197.0
519,,,,,,6335871746.0,
520,,,,,,61262127.0,
521,127054705.0,,,,,,
522,3071026401.0,,,,,,
523,5441416624.0,,,,,,
524,200000000.0,,,,,,
525,48562932.0,,,,,,
526,101342719.0,,,,,,
527,106902906.0,,,,,,
528,151974036.0,,,,,,
529,14591307209.0,,,,,,
530,182423765.0,,,,,,
531,272440542.0,,,,,,
532,1504873451.0,,,,,,
533,1051967550.0,,,,,,
534,673349157.0,,,,,,
535,754356950.0,,,,,,
536,892130333.0,,,,,,
537,8212194.0,,,,,,
538,590336594.0,,,,,,
539,467636360.0,,,,,,
540,24588578.0,,,,,,
541,300314088.0,,,,,,
542,8193920702.0,,,,,,
543,571722277.0,,,,,,
544,8019349.0,,,,,,
545,53714864.0,,,,,,
